index,file_name,title,comment,tag,link_source,link_m3u8
0,<title>【ココロ部！】第８話「みんなに合わせる“友情”」VＴＲ① | クリップ | NHK for School</title>,<title>【ココロ部！】第８話「みんなに合わせる“友情”」VＴＲ① | クリップ | NHK for School</title>,"['お困りの際には、「困ったときは…」をご覧ください。', '今回、コジマくんは「高校生」になります。クラスメートとスマホでメッセージのやりとりするときにピンチにあいます。自分だったらどうするか考えてみてください。', 'この動画へのリンクをコピー', 'コジマくんが無料通話アプリのグループトークで友達とのメッセージのやりとりをする中、「友情」について考える。', '\nコジマくんの教室では仲良しグループでスマホを使ったメッセージのやりとりをしている。休日に皆で遊園地に行こうとスマホで盛り上がるクラスメートたちだが、ナナミという女子が塾で行けないと言う。そしてナナミは「みんなはヒマでいいね」という一言をメッセージに残してしまう。この一言がきっかけでナナミを外したスマホのグループでナナミの悪口を言い合うようになってしまった。ナナミへの悪口に対して同意するような雰囲気にコジマくんは悩む。', '', '今回、コジマくんは「高校生」になります。クラスメートとスマホでメッセージのやりとりするときにピンチにあいます。自分だったらどうするか考えてみてください。']","['NHK,NHK for School,学校,放送,教育,番組,クリップ,ゲーム,電子黒板']",http://www2.nhk.or.jp/school/movie/clip.cgi?das_id=D0005380007_00000&p=box,https://nhk-vh.akamaihd.net/i/das/D0005380/D0005380007_00000_V_000.f4v/master.m3u8
1,<title>【ココロ部！】第８話「みんなに合わせる“友情”」VＴＲ② | クリップ | NHK for School</title>,<title>【ココロ部！】第８話「みんなに合わせる“友情”」VＴＲ② | クリップ | NHK for School</title>,"['お困りの際には、「困ったときは…」をご覧ください。', '今回、コジマくんは「高校生」になります。クラスメートとスマホでメッセージのやりとりするときにピンチにあいます。自分だったらどうするか考えてみてください。', 'この動画へのリンクをコピー', 'コジマくんが無料通話アプリのグループトークで友達とのメッセージのやりとりをする中、「友情」について考える。', '\nコジマくんはナナミへはスマホでのメッセージでは誤解のないように注意し、クラスメートにはスマホのメッセージで悪口を言うのはやめるように伝えよう教室に戻ると、ナナミはクラスメートと仲直りしていた。そして親友のタイキが浮かない顔をしている。コジマと同じようにクラスメートにナナミの悪口を言うのをやめようとメッセージを送ったら、今度はタイキがグループから外されてクラスメートから悪口を言われるようになってしまったのだ。再びクラスメートからタイキへの悪口に同意するような雰囲気にコジマくんは悩む', '', '今回、コジマくんは「高校生」になります。クラスメートとスマホでメッセージのやりとりするときにピンチにあいます。自分だったらどうするか考えてみてください。']","['NHK,NHK for School,学校,放送,教育,番組,クリップ,ゲーム,電子黒板']",http://www2.nhk.or.jp/school/movie/clip.cgi?das_id=D0005380008_00000&p=box,https://nhk-vh.akamaihd.net/i/das/D0005380/D0005380008_00000_V_000.f4v/master.m3u8
2,<title>【ココロ部！】第７話「おくれてきた客」ＶＴＲ① | クリップ | NHK for School</title>,<title>【ココロ部！】第７話「おくれてきた客」ＶＴＲ① | クリップ | NHK for School</title>,"['お困りの際には、「困ったときは…」をご覧ください。', '今回、コジマくんは「美術館の警備員」になります。海外の名作を集めた絵画展の最終日にピンチにあいます。自分だったらどうするか？理由もいっしょに考えてみてください。', 'この動画へのリンクをコピー', 'コジマくんが、閉館した美術館に遅れてきた客のおばあさんを入れてあげるか悩む中で「法やきまりを守る」と「誰に対しても思いやりの心を持つ」について考える', '\nコジマくんが働く美術館の美術展最終日。この日美術館はいつもよりも１時間早く閉館を迎えた。コジマくんが閉館後に一人で警備をしていると、おばあちゃんとその娘が訪ねてきた。いつもよりも１時間早い閉館を知らなかったというのだ。話をきくと、おばあさんには今回の美術展に展示されたとある絵画に、深い思い入れがあることを知る。おばあさんの想いを聞いたコジマくんはこっそり美術館の中にいれてあげようか悩む。', '', '今回、コジマくんは「美術館の警備員」になります。海外の名作を集めた絵画展の最終日にピンチにあいます。自分だったらどうするか？理由もいっしょに考えてみてください。']","['NHK,NHK for School,学校,放送,教育,番組,クリップ,ゲーム,電子黒板']",http://www2.nhk.or.jp/school/movie/clip.cgi?das_id=D0005380005_00000&p=box,https://nhk-vh.akamaihd.net/i/das/D0005380/D0005380005_00000_V_000.f4v/master.m3u8
